meter_id,anomaly_flag,risk_band,anomaly_type
MTR_000025,1,High,low_consumption
MTR_000027,1,High,low_consumption
MTR_000030,1,High,low_consumption
MTR_000032,1,Low,low_consumption
MTR_000040,1,High,low_consumption
MTR_000075,1,Low,low_consumption
MTR_000079,1,High,low_consumption
MTR_000086,1,High,low_consumption
MTR_000092,1,Low,low_consumption
MTR_000102,1,Low,low_consumption
MTR_000113,1,High,low_consumption
MTR_000115,1,High,low_consumption
MTR_000121,1,Low,low_consumption
MTR_000139,1,High,low_consumption
MTR_000147,1,Low,low_consumption
MTR_000158,1,High,low_consumption
MTR_000166,1,Low,low_consumption
MTR_000182,1,Low,low_consumption
MTR_000183,1,High,low_consumption
