meter_id,anomaly_flag,risk_band,anomaly_type
MTR_000006,1,Low,low_consumption
MTR_000008,1,Low,low_consumption
MTR_000012,1,Low,low_consumption
MTR_000033,1,High,low_consumption
MTR_000035,1,High,low_consumption
MTR_000054,1,High,low_consumption
MTR_000058,1,Low,low_consumption
MTR_000085,1,High,low_consumption
MTR_000090,1,Low,low_consumption
MTR_000092,1,High,low_consumption
MTR_000097,1,Medium,low_consumption
MTR_000105,1,High,low_consumption
MTR_000131,1,Low,low_consumption
MTR_000149,1,High,low_consumption
MTR_000157,1,High,low_consumption
MTR_000185,1,Low,low_consumption
MTR_000188,1,Low,low_consumption
MTR_000192,1,High,low_consumption
MTR_000206,1,High,low_consumption
MTR_000255,1,High,low_consumption
MTR_000294,1,High,low_consumption
MTR_000323,1,High,low_consumption
MTR_000334,1,Low,low_consumption
MTR_000336,1,High,low_consumption
MTR_000347,1,Low,low_consumption
MTR_000358,1,Medium,low_consumption
MTR_000410,1,Low,low_consumption
MTR_000412,1,Low,low_consumption
MTR_000415,1,High,low_consumption
MTR_000421,1,Low,low_consumption
MTR_000427,1,Low,low_consumption
MTR_000450,1,High,low_consumption
MTR_000452,1,High,low_consumption
MTR_000463,1,Low,low_consumption
MTR_000465,1,Low,low_consumption
MTR_000472,1,High,low_consumption
MTR_000486,1,Low,low_consumption
MTR_000505,1,Low,low_consumption
MTR_000507,1,Low,low_consumption
MTR_000510,1,Low,low_consumption
MTR_000515,1,High,low_consumption
MTR_000536,1,Low,low_consumption
MTR_000538,1,High,low_consumption
MTR_000540,1,Low,low_consumption
MTR_000542,1,Low,low_consumption
MTR_000555,1,High,low_consumption
MTR_000569,1,High,low_consumption
MTR_000588,1,Low,low_consumption
MTR_000594,1,High,low_consumption
MTR_000620,1,High,low_consumption
MTR_000625,1,High,low_consumption
MTR_000635,1,High,low_consumption
MTR_000653,1,Low,low_consumption
MTR_000655,1,High,low_consumption
MTR_000675,1,High,low_consumption
MTR_000691,1,High,low_consumption
MTR_000696,1,Low,low_consumption
MTR_000722,1,Low,low_consumption
MTR_000723,1,Medium,low_consumption
MTR_000731,1,High,low_consumption
MTR_000745,1,High,low_consumption
MTR_000748,1,Low,low_consumption
MTR_000765,1,Medium,low_consumption
MTR_000837,1,High,low_consumption
MTR_000841,1,High,low_consumption
MTR_000849,1,High,low_consumption
MTR_000876,1,High,low_consumption
MTR_000933,1,Low,low_consumption
MTR_000936,1,High,low_consumption
MTR_000944,1,High,low_consumption
MTR_000951,1,High,low_consumption
MTR_000955,1,High,low_consumption
MTR_000961,1,Low,low_consumption
MTR_000973,1,Low,low_consumption
MTR_000977,1,High,low_consumption
MTR_000996,1,High,low_consumption
