transformer_id,feeder_id,barangay,lat,lon,capacity_kVA
TX_0001,FD_10,Poblacion,14.410341585566835,120.98025262264584,200.0
TX_0002,FD_01,Maligaya,14.63729623123664,120.98418829370502,200.0
TX_0003,FD_05,San Miguel,14.60810913211388,120.9687867369335,300.0
TX_0004,FD_08,Bagong Silang,14.472114714586532,120.88036354762994,50.0
TX_0005,FD_10,Del Pilar,14.678393813385307,121.09730994560243,100.0
TX_0006,FD_10,Mabini,14.502700023717118,121.07550977671534,500.0
TX_0007,FD_10,Mabini,14.476074801881838,121.07100620199742,150.0
TX_0008,FD_07,Bagong Silang,14.474520915580191,120.87670865089876,150.0
TX_0009,FD_09,Santa Cruz,14.584599930423854,121.02178560024677,300.0
TX_0010,FD_02,Mabini,14.506647280355377,121.08366438922644,150.0
TX_0011,FD_08,San Miguel,14.595407847364292,120.97459432318017,75.0
TX_0012,FD_04,Maligaya,14.62940124747316,121.01866790009885,500.0
TX_0013,FD_10,San Isidro,14.482851134370653,121.03246799745088,300.0
TX_0014,FD_02,Bagong Silang,14.485072854832216,120.88714016182053,300.0
TX_0015,FD_08,Maligaya,14.613991818897366,120.99639340365452,100.0
TX_0016,FD_06,Maligaya,14.63528009026222,120.99137028976821,200.0
TX_0017,FD_09,San Isidro,14.511066405039905,121.03058114941156,200.0
TX_0018,FD_08,Poblacion,14.456865322588056,121.0101751882672,100.0
TX_0019,FD_07,San Miguel,14.591658550181005,120.9756882628026,150.0
TX_0020,FD_07,Maligaya,14.626805236893553,120.99402765033341,150.0
TX_0021,FD_01,San Miguel,14.584352525366873,120.99816290255744,100.0
TX_0022,FD_04,Rizal,14.555719603001966,120.9342029779767,100.0
TX_0023,FD_07,Maligaya,14.638842228963863,121.00092888680035,200.0
TX_0024,FD_04,Poblacion,14.44587486027342,121.01094745877734,50.0
TX_0025,FD_09,Del Pilar,14.659230904504641,121.11695028017361,150.0
TX_0026,FD_05,Santa Cruz,14.597177416370892,121.01956948506508,200.0
TX_0027,FD_01,Mabini,14.496653738902122,121.11063107931348,300.0
TX_0028,FD_05,San Isidro,14.48862569278071,121.01877557265074,500.0
TX_0029,FD_03,Del Pilar,14.643958349847226,121.12021596224332,300.0
TX_0030,FD_06,Santa Cruz,14.581723737041022,121.0411433583982,300.0
