meter_id,transformer_id,customer_class,barangay,lat,lon,monthly_consumption_202411,monthly_consumption_202412,monthly_consumption_202501,monthly_consumption_202502,monthly_consumption_202503,monthly_consumption_202504,monthly_consumption_202505,monthly_consumption_202506,monthly_consumption_202507,monthly_consumption_202508,monthly_consumption_202509,monthly_consumption_202510,kVA
MTR_000001,TX_QC_BAGBAG_001,residential,"Bagbag, Quezon City",14.692117031551986,121.02958990655846,365.37,362.4,385.34,415.98,499.83,532.81,510.14,521.37,459.11,421.33,381.18,352.98,9.23
MTR_000002,TX_QC_BAGBAG_001,residential,"Bagbag, Quezon City",14.698446240243447,121.03952365387472,227.86,228.78,241.4,277.8,310.9,332.97,311.24,315.01,286.76,266.91,236.16,227.66,6.99
MTR_000003,TX_QC_BAGBAG_001,commercial,"Bagbag, Quezon City",14.697240941698514,121.04201933657498,643.59,671.58,723.6,819.92,863.77,945.17,979.75,976.39,885.4,793.56,709.98,711.1,188.95
MTR_000004,TX_QC_BAGBAG_001,commercial,"Bagbag, Quezon City",14.686127603518283,121.03113650810806,968.49,1017.53,1144.77,1169.85,1393.45,1439.63,1415.85,1419.53,14.2,13.17,8.72,12.64,117.42
MTR_000005,TX_QC_DAMAYAN_001,commercial,"Damayan, Quezon City",14.643222865756883,121.01056293743926,985.08,992.44,1026.07,1136.89,1263.3,1330.57,1369.78,1425.4,1315.82,1221.9,1117.22,994.02,149.89
MTR_000006,TX_QC_DAMAYAN_001,residential,"Damayan, Quezon City",14.65083115191051,121.02204677806479,362.92,376.21,394.38,432.13,473.59,507.52,520.35,245.47,246.07,221.08,185.2,174.09,8.83
MTR_000007,TX_QC_DAMAYAN_001,commercial,"Damayan, Quezon City",14.636518276457954,121.00587717337024,1196.49,1280.59,1323.33,1546.61,1726.27,1686.46,1851.52,1774.67,1645.81,1487.27,1387.67,1256.79,85.4
MTR_000008,TX_QC_DAMAYAN_001,commercial,"Damayan, Quezon City",14.640183640040043,121.00910288562618,1060.99,1106.97,1171.87,1348.82,1430.98,1530.53,1552.85,1448.14,1447.73,1293.09,1152.6,1107.75,66.63
MTR_000009,TX_QC_SILANGAN_001,commercial,"Bagong Silangan, Quezon City",14.69182545664289,121.1054911578502,1313.49,1370.64,1443.14,1665.12,1818.67,1806.97,1844.3,1911.72,1744.02,1563.21,1460.57,1310.08,121.31
MTR_000010,TX_QC_SILANGAN_001,residential,"Bagong Silangan, Quezon City",14.691356767029397,121.09564206061637,89.62,91.91,101.3,110.5,125.2,126.75,136.57,129.79,127.37,111.78,105.2,93.22,11.04
MTR_000011,TX_QC_SILANGAN_001,industrial,"Bagong Silangan, Quezon City",14.694455643864158,121.10919019290198,4665.91,4823.43,5082.11,5953.02,6539.01,6850.17,7389.24,6692.23,6405.86,5818.46,5114.36,4888.83,679.09
MTR_000012,TX_QC_SILANGAN_001,commercial,"Bagong Silangan, Quezon City",14.682669830399968,121.10071152753133,1007.07,1022.81,1073.93,1220.47,1291.59,1503.05,1421.16,1463.76,1425.29,1240.16,1159.23,994.66,94.35
MTR_000013,TX_QC_ALICIA_001,residential,"Alicia, Quezon City",14.66027675529581,121.04266762619807,261.0,252.37,277.17,307.5,357.7,387.4,392.61,356.91,364.02,314.55,284.33,253.49,9.17
MTR_000014,TX_QC_ALICIA_001,residential,"Alicia, Quezon City",14.660747718948347,121.04162337076565,376.5,368.01,416.39,475.37,484.91,541.24,536.94,530.86,504.37,453.05,419.9,379.31,8.56
MTR_000015,TX_QC_ALICIA_001,commercial,"Alicia, Quezon City",14.649662527244114,121.04227635094112,1835.66,1902.58,2066.5,2253.75,2468.75,2783.53,2767.13,2608.13,2509.11,2242.7,2142.31,1793.36,50.08
MTR_000016,TX_QC_ALICIA_001,residential,"Alicia, Quezon City",14.652307749544612,121.05002944643576,276.64,290.02,319.62,368.04,375.0,429.91,407.72,431.43,373.58,338.43,326.31,308.6,10.34
MTR_000017,TX_QC_BAGONG_PAGASA_001,residential,"Bagong Pag-asa, Quezon City",14.647864919365079,121.03989971079946,264.52,249.44,299.23,317.1,356.92,384.32,389.2,373.68,348.32,328.14,277.23,274.7,7.44
MTR_000018,TX_QC_BAGONG_PAGASA_001,residential,"Bagong Pag-asa, Quezon City",14.6457969434638,121.04060273468669,319.22,313.39,360.02,391.95,438.77,470.75,449.59,458.75,448.44,383.78,355.01,318.88,9.04
MTR_000019,TX_QC_BAGONG_PAGASA_001,residential,"Bagong Pag-asa, Quezon City",14.65874451032011,121.03848616500706,407.35,406.44,464.45,485.82,537.24,564.91,584.74,592.87,563.29,521.62,438.1,433.63,11.96
MTR_000020,TX_QC_BAGONG_PAGASA_001,industrial,"Bagong Pag-asa, Quezon City",14.664031397638274,121.04374516667436,1707.05,1706.12,1955.48,2184.83,2223.27,2413.8,2605.68,2497.45,2187.33,2141.22,1935.8,1765.01,413.42
MTR_000021,TX_QC_BAHAY_TORO_001,residential,"Bahay Toro, Quezon City",14.649505276566098,121.04044815412963,272.47,283.03,320.68,365.95,379.66,416.16,429.66,410.53,395.04,365.67,320.38,291.87,8.45
MTR_000022,TX_QC_BAHAY_TORO_001,residential,"Bahay Toro, Quezon City",14.647876111453497,121.03868797957614,276.34,289.58,308.27,343.78,383.52,390.08,405.76,409.49,379.69,341.74,320.01,292.92,9.48
MTR_000023,TX_QC_BAHAY_TORO_001,residential,"Bahay Toro, Quezon City",14.64166144843762,121.04289684022615,379.22,408.44,434.21,480.32,532.06,532.39,548.01,563.91,517.33,482.57,406.71,390.49,8.7
MTR_000024,TX_QC_BAHAY_TORO_001,residential,"Bahay Toro, Quezon City",14.644794738520963,121.04316268256294,234.54,244.31,269.87,296.83,327.74,347.69,352.88,357.63,310.52,299.69,268.84,250.67,14.83
MTR_000025,TX_LASPINAS_ILAYA_001,commercial,"Ilaya, Las Piñas",14.479195507139696,120.97908991918803,1749.58,1701.59,1830.58,2075.01,2251.31,2481.36,2612.53,2364.63,2208.27,2039.97,1924.44,1744.89,72.61
MTR_000026,TX_LASPINAS_ILAYA_001,commercial,"Ilaya, Las Piñas",14.473436352556194,120.97939665370096,1289.84,1446.39,1555.01,1599.0,1874.95,2023.35,1989.6,1884.99,1768.93,1612.64,1562.62,1445.27,98.89
MTR_000027,TX_LASPINAS_ILAYA_001,commercial,"Ilaya, Las Piñas",14.470955062626711,120.983984128342,1032.56,1069.44,1242.39,1312.95,1441.2,1523.95,1619.73,1547.75,1504.78,1296.05,1236.41,1115.52,102.3
MTR_000028,TX_LASPINAS_ILAYA_001,residential,"Ilaya, Las Piñas",14.485785733723029,120.978687465393,194.57,207.37,235.95,263.67,277.31,296.22,316.27,299.37,265.27,263.41,221.94,210.78,10.18
MTR_000029,TX_LASPINAS_TALON_001,commercial,"Talon Singko, Las Piñas",14.418441250878534,121.00123421693414,1579.6,1622.91,1765.25,2022.48,2326.99,2359.47,29.13,17.21,8.77,13.56,15.34,23.95,81.36
MTR_000030,TX_LASPINAS_TALON_001,residential,"Talon Singko, Las Piñas",14.427255658268571,120.99765124677265,182.25,188.92,213.37,226.71,252.39,273.42,272.84,279.14,255.41,225.44,211.6,190.84,6.75
MTR_000031,TX_LASPINAS_TALON_001,residential,"Talon Singko, Las Piñas",14.426920678427757,120.99848439801937,117.19,124.37,126.64,144.11,154.34,176.27,171.83,178.74,161.61,150.94,138.2,125.27,14.96
MTR_000032,TX_LASPINAS_TALON_001,commercial,"Talon Singko, Las Piñas",14.413189718453825,121.00132568554669,2403.5,2374.02,2621.71,2826.69,3090.94,3401.84,3510.67,3345.32,3209.96,3010.3,2623.01,2448.97,78.31
MTR_000033,TX_MANILA_MALATE_001,commercial,"Barangay 696, Malate, Manila",14.569114819174578,121.00162095716362,1778.57,1834.94,1843.77,2105.01,2296.25,2389.97,2583.86,2551.76,2418.76,2044.75,1984.4,1781.97,178.45
MTR_000034,TX_MANILA_MALATE_001,commercial,"Barangay 696, Malate, Manila",14.576731469654414,120.99724532028269,1396.03,1472.01,1558.35,1682.09,1942.34,1978.9,1956.61,2072.71,1852.06,1756.99,1518.02,1465.01,190.35
MTR_000035,TX_MANILA_MALATE_001,residential,"Barangay 696, Malate, Manila",14.57982732548129,121.00333883192351,212.99,229.3,237.36,256.09,290.5,310.7,325.07,316.48,288.11,257.04,241.5,216.97,8.72
MTR_000036,TX_MANILA_MALATE_001,residential,"Barangay 696, Malate, Manila",14.570736931703859,120.99283403804813,251.02,280.11,298.78,331.71,369.88,383.3,403.21,382.1,342.81,322.66,293.1,275.26,8.05
MTR_000037,TX_MANILA_SXCRUZ_001,industrial,"Santa Cruz, Manila",14.60678612718498,120.98951018316174,2989.27,2944.03,3330.36,3649.71,4046.42,4429.17,4340.26,4400.38,3985.66,3598.44,3437.35,2923.99,340.74
MTR_000038,TX_MANILA_SXCRUZ_001,residential,"Santa Cruz, Manila",14.621308030373802,120.99405110734313,160.38,177.51,180.01,216.08,228.5,255.43,256.4,247.95,240.27,206.88,196.68,166.52,8.66
MTR_000039,TX_MANILA_SXCRUZ_001,residential,"Santa Cruz, Manila",14.616600901449447,120.9923589612218,100.01,99.47,115.9,128.83,143.21,141.04,151.27,60.83,56.29,51.21,46.38,43.86,10.43
MTR_000040,TX_MANILA_SXCRUZ_001,residential,"Santa Cruz, Manila",14.62600247707817,120.98936715191726,232.35,236.84,247.87,275.47,300.63,353.21,328.06,324.03,310.51,296.45,270.81,244.69,10.9
MTR_000041,TX_MANILA_POBLACION_001,industrial,"Poblacion, Manila",14.591966072281094,120.98817751575963,4084.9,4605.49,4917.5,5400.27,6010.65,6388.84,6479.23,6549.1,6095.21,5404.38,4886.24,4206.26,547.52
MTR_000042,TX_MANILA_POBLACION_001,commercial,"Poblacion, Manila",14.589568209492032,120.98525931611671,2011.96,1951.41,2245.29,2596.42,2735.41,2893.49,2911.99,2791.16,2783.07,2396.92,2140.02,2028.61,179.63
MTR_000043,TX_MANILA_POBLACION_001,residential,"Poblacion, Manila",14.58583657956229,120.99516645873497,279.53,300.99,329.86,370.97,408.3,423.22,441.49,428.21,417.74,366.8,327.18,299.46,12.69
MTR_000044,TX_MANILA_POBLACION_001,residential,"Poblacion, Manila",14.602634384572527,120.99022982399697,305.53,323.02,342.56,385.29,427.0,445.74,451.67,461.59,413.64,377.72,357.98,297.82,7.8
MTR_000045,TX_MANILA_ERMITA_001,industrial,"Ermita, Manila",14.583860291856404,120.98127849899502,3625.12,3436.77,3717.4,4149.21,4581.26,4860.19,5201.66,5136.97,4668.77,4299.32,3749.54,3532.42,464.6
MTR_000046,TX_MANILA_ERMITA_001,industrial,"Ermita, Manila",14.578918932905438,120.97365087023462,2582.2,2724.54,2754.5,3209.97,3470.63,3911.61,3947.9,3811.97,3463.64,3352.65,2766.6,2558.7,260.28
MTR_000047,TX_MANILA_ERMITA_001,residential,"Ermita, Manila",14.580258729861574,120.9777264789478,171.2,174.25,179.75,206.47,235.98,249.33,248.06,249.79,236.13,209.63,176.18,167.54,9.85
MTR_000048,TX_MANILA_ERMITA_001,commercial,"Ermita, Manila",14.574213315136685,120.97401102396391,1126.77,1096.11,1266.74,1310.71,1430.78,1579.89,1559.18,23.16,29.8,7.48,15.04,25.0,189.5
MTR_000049,TX_MANILA_SAMPALOC_001,commercial,"Addition Hills, Mandaluyong",14.34973959331214,121.01898978524954,2206.19,2219.86,2479.54,2748.42,3176.12,3355.58,3288.93,3266.99,3100.94,2622.9,2573.54,2356.29,103.8
MTR_000050,TX_MANILA_SAMPALOC_001,residential,"Addition Hills, Mandaluyong",14.347388746959586,121.02726219341936,276.39,283.74,305.18,346.15,364.27,421.39,397.01,400.1,398.13,355.12,305.44,279.77,13.49
