transformer_id,barangay,lat,lon,capacity_kVA,feeder_id
TX_QC_BAGBAG_001,"Bagbag, Quezon City",14.694219401188475,121.0337201430641,1000,FEEDER_1
TX_QC_DAMAYAN_001,"Damayan, Quezon City",14.641396910002728,121.01506850157946,750,FEEDER_2
TX_QC_SILANGAN_001,"Bagong Silangan, Quezon City",14.690559945203363,121.10158083612167,2000,FEEDER_3
TX_QC_ALICIA_001,"Alicia, Quezon City",14.652611150117432,121.04618072577796,2000,FEEDER_1
TX_QC_BAGONG_PAGASA_001,"Bagong Pag-asa, Quezon City",14.65449909852162,121.045524426408,750,FEEDER_2
TX_QC_BAHAY_TORO_001,"Bahay Toro, Quezon City",14.646818249672071,121.03683404509854,1500,FEEDER_3
TX_LASPINAS_ILAYA_001,"Ilaya, Las Piñas",14.479031531604882,120.9751736630522,500,FEEDER_1
TX_LASPINAS_TALON_001,"Talon Singko, Las Piñas",14.417612291401982,120.99731852894723,750,FEEDER_2
TX_MANILA_MALATE_001,"Barangay 696, Malate, Manila",14.571024656632135,120.9938655551884,1000,FEEDER_3
TX_MANILA_SXCRUZ_001,"Santa Cruz, Manila",14.61642461991267,120.98963230885808,500,FEEDER_1
TX_MANILA_POBLACION_001,"Poblacion, Manila",14.594964504127201,120.98527544851902,2000,FEEDER_2
TX_MANILA_ERMITA_001,"Ermita, Manila",14.582804992519694,120.97983264961161,500,FEEDER_3
TX_MANILA_SAMPALOC_001,"Addition Hills, Mandaluyong",14.354656320330745,121.02308397348116,500,FEEDER_1
TX_MANILA_TONDO_001,"Merville, Parañaque",14.462159662522202,121.01430893825622,1500,FEEDER_2
TX_MANILA_BINONDO_001,"Sto. Niño, Marikina",14.639401524937396,121.08122038234845,2000,FEEDER_3
TX_MANDALUYONG_001,"Concepcion Uno, Marikina",14.642831949117362,121.09943364653508,500,FEEDER_1
TX_PARANAQUE_001,"Bagong Silang, Caloocan",14.697587799815999,121.02162522284354,750,FEEDER_2
TX_MARIKINA_STONINO_001,"Grace Park West, Caloocan",14.644251558744912,120.98207941662868,1500,FEEDER_3
TX_MARIKINA_CONCEPCION_001,"Maharlika Village, Taguig",14.575348544555256,121.05369584627765,750,FEEDER_1
TX_CALOOCAN_SILANG_001,"Greenhills, San Juan",14.594497541333698,121.02895150236002,1500,FEEDER_2
TX_CALOOCAN_GRACEPARK_001,"Punturin, Valenzuela",14.73797899978811,121.00661874235023,1500,FEEDER_3
TX_TAGUIG_001,"Sampaloc, Manila",14.599652272889106,120.99155330330764,2000,FEEDER_1
TX_SANJUAN_001,"Tondo, Manila",14.617613490317739,120.97188737509151,750,FEEDER_2
TX_VALENZUELA_001,"Binondo, Manila",14.604152553072643,120.97807034247687,2000,FEEDER_3
TX_METRO_001,"Bagbag, Quezon City",14.691883242249748,121.03223496980753,500,FEEDER_1
