meter_id,transformer_id,customer_class,barangay,lat,lon,monthly_consumption_202411,monthly_consumption_202412,monthly_consumption_202501,monthly_consumption_202502,monthly_consumption_202503,monthly_consumption_202504,monthly_consumption_202505,monthly_consumption_202506,monthly_consumption_202507,monthly_consumption_202508,monthly_consumption_202509,monthly_consumption_202510,kVA
M1000000,TX_Ermita (Brgy 65,Residential,Ermita (Brgy 659),14.582593428306023,120.98072347139765,376.12,191.0,556.15,401.23,806.19,277.64,273.6,359.34,275.96,189.53,295.18,457.98,15
M1000001,TX_Ermita (Brgy 65,Commercial,Ermita (Brgy 659),14.581551089645012,120.98171110263424,2262.57,939.18,1969.14,767.7,1754.24,2945.13,1428.49,1228.27,1504.13,1672.8,2482.38,1883.0,75
M1000002,TX_Ermita (Brgy 65,Residential,Ermita (Brgy 659),14.57958182931427,120.97783341157292,278.7235078088464,155.91942062535398,129.6321058178218,117.15676997695908,315.04678475264404,116.19884240346425,348.25679708258355,229.3846684275059,145.72751679107776,295.3981308032853,137.44032941107608,153.01222182672436,15
M1000003,TX_Ermita (Brgy 65,Residential,Ermita (Brgy 659),14.578451689426112,120.98227590588644,367.93,567.4,237.45,178.82,245.33,336.7,463.53,392.24,405.68,259.77,421.8,566.59,10
M1000004,TX_Ermita (Brgy 65,Commercial,Ermita (Brgy 659),14.583430804235403,120.98165750221932,1353.01,2169.78,2620.09,957.06,2382.01,2868.98,2344.98,1084.6,1660.36,1443.59,2138.11,3345.51,50
M1000005,TX_Ermita (Brgy 65,Residential,Ermita (Brgy 659),14.583773454046078,120.9830099737614,557.07,573.74,157.21,459.07,478.54,512.37,223.87,268.4,393.38,342.71,433.1,400.94,15
M1000006,TX_Ermita (Brgy 65,Residential,Ermita (Brgy 659),14.585013209907357,120.98274717883126,349.23,397.31,445.26,509.38,335.36,787.75,348.55,500.01,340.35,204.03,548.49,288.88,15
M1000007,TX_Ermita (Brgy 65,Commercial,Ermita (Brgy 659),14.581029021398027,120.98313058493768,3021.25,2655.9,1997.91,3275.88,1676.8,2299.3,3371.66,796.32,1088.32,2468.78,1421.76,1997.89,50
M1000008,TX_Ermita (Brgy 65,Residential,Ermita (Brgy 659),14.583357347096381,120.9805208109836,508.07,408.69,253.73,236.91,497.25,814.08,674.76,168.27,371.12,613.17,259.13,503.74,10
M1000009,TX_Ermita (Brgy 65,Residential,Ermita (Brgy 659),14.583020218480728,120.9811849577431,357.4,489.49,214.21,584.17,614.78,365.58,702.56,576.79,361.26,505.54,481.87,523.75,10
M1000010,TX_Ermita (Brgy 65,Residential,Ermita (Brgy 659),14.581930045596218,120.97928814216434,364.12,286.54,141.0,498.35,260.7,567.71,470.97,166.14,389.03,517.56,343.93,472.92,10
M1000011,TX_Ermita (Brgy 65,Residential,Ermita (Brgy 659),14.580056361844486,120.98432260346121,203.88,422.72,417.57,621.06,516.06,391.47,417.73,131.53,139.82,539.26,303.56,368.27,5
M1000012,TX_Ermita (Brgy 65,Residential,Ermita (Brgy 659),14.585826224313916,120.98000318675459,644.06,228.52,570.22,414.39,605.02,797.81,594.73,441.5,215.87,511.96,515.65,226.53,15
M1000013,TX_Ermita (Brgy 65,Residential,Ermita (Brgy 659),14.580762982237578,120.98077716244683,315.53,341.05,281.51,394.81,433.67,204.38,742.3,330.18,415.72,182.31,433.71,371.25,15
M1000014,TX_Ermita (Brgy 65,Residential,Ermita (Brgy 659),14.583250832697976,120.982627019272,557.03,493.73,534.6,173.71,225.9,819.5,530.23,313.48,297.65,504.74,421.19,323.05,15
M1000015,TX_Ermita (Brgy 65,Industrial,Ermita (Brgy 659),14.585227333151758,120.98180916579022,7376.485568594537,14234.602057777169,3513.137856455911,8015.030719073302,11980.246348460238,13569.410294057645,27258.71494151601,7965.965223039001,6475.428376688369,8286.330021545926,4845.413702582235,2964.0206413441306,200
M1000016,TX_Ermita (Brgy 65,Residential,Ermita (Brgy 659),14.580995351515847,120.98099087434201,155.29,211.97,497.87,561.09,386.72,356.81,221.73,179.84,422.53,176.86,560.74,458.67,15
M1000017,TX_Ermita (Brgy 65,Commercial,Ermita (Brgy 659),14.584473509345099,120.97959660004598,1567.0545688437473,913.6571472913545,860.7630703085416,1334.3380192723068,941.6971563998902,1147.4170460389266,1199.3733508455734,812.8745852064554,1168.1970837968804,562.8744596994543,1650.4479779931205,1453.1990899983903,50
M1000018,TX_Ermita (Brgy 65,Industrial,Ermita (Brgy 659),14.583958880241443,120.98006164869578,6687.84,10050.74,14783.42,9439.39,8380.95,18660.37,21539.53,10835.71,15164.98,6994.47,6791.18,10161.24,150
M1000019,TX_Ermita (Brgy 65,Commercial,Ermita (Brgy 659),14.574643661572727,120.9804634738761,919.973874972346,1460.6464536129374,1484.9866741705712,1030.6339943292535,1871.3698995965663,2049.2543065323744,1755.5732485351614,1202.5968846489138,957.9318772581815,1314.3377803334565,1087.6250365743886,833.8018718810644,25
M1000020,TX_Ermita (Brgy 65,Residential,Ermita (Brgy 659),14.58157056348273,120.98259281085939,51.34292214919535,113.7884423070589,110.9389159187891,38.18928316023963,86.60347605556494,39.85737292394937,68.24617887493005,82.19741104536483,48.24616677830738,45.086810071926514,77.01755293479678,63.74195681346036,5
M1000021,TX_Ermita (Brgy 65,Commercial,Ermita (Brgy 659),14.5773082864803,120.98202588250157,773.3883551914574,625.5933332974188,1048.788861284626,1652.3747483883108,1018.5734102326477,1164.420096250821,4051.088852010705,1739.1737010536008,1751.278688562295,722.0817891275241,847.447243737698,1479.9630294666113,75
M1000022,TX_Ermita (Brgy 65,Residential,Ermita (Brgy 659),14.58775776161691,120.98323914982286,354.77,241.17,273.74,269.4,329.31,707.75,618.9,311.52,381.81,451.72,184.26,327.11,10
M1000023,TX_Ermita (Brgy 65,Residential,Ermita (Brgy 659),14.581577545113241,120.97772401192857,485.93,241.24,408.4,206.94,241.28,185.25,665.99,537.79,455.33,557.79,495.0,478.28,10
