meter_id,transformer_id,customer_class,barangay,lat,lon,monthly_consumption_202411,monthly_consumption_202412,monthly_consumption_202501,monthly_consumption_202502,monthly_consumption_202503,monthly_consumption_202504,monthly_consumption_202505,monthly_consumption_202506,monthly_consumption_202507,monthly_consumption_202508,monthly_consumption_202509,monthly_consumption_202510,kVA
M1000000,TX_Bago Bantay,Residential,Bago Bantay,14.642928845536517,121.02906212212355,262.8,441.5,288.92,485.14,305.64,602.22,495.24,273.51,486.92,199.35,261.96,303.52,15
M1000001,TX_Bago Bantay,Residential,Bago Bantay,14.644115557295441,121.02868223055233,158.46121281504762,132.61617131292832,161.2083849389656,214.24502458355045,238.03583004309783,367.5165884489426,213.79781051686615,167.52835515606495,179.9373168964816,137.10796974094447,93.45299661614395,137.79599138199725,5
M1000002,TX_Bago Bantay,Residential,Bago Bantay,14.649787153496645,121.02625900398951,178.83,331.71,521.46,439.13,343.83,742.15,735.01,288.08,250.07,155.4,343.29,507.8,5
M1000003,TX_Bago Bantay,Industrial,Bago Bantay,14.64316662357322,121.02673555736247,7368.24,7238.47,13981.07,12692.34,14002.8,15486.94,12865.05,6046.04,5509.36,6073.9,6284.75,10498.14,500
M1000004,TX_Bago Bantay,Commercial,Bago Bantay,14.644568646558549,121.02651497204359,2097.91,1906.54,771.85,2429.46,1990.2,2370.87,1372.57,2270.45,2894.73,823.12,2997.67,1396.97,50
M1000005,TX_Bago Bantay,Residential,Bago Bantay,14.64734399543648,121.02942324482474,348.23,245.74,213.3,155.11,530.45,183.5,364.76,476.93,583.6,238.85,173.25,251.19,10
M1000006,TX_Bago Bantay,Residential,Bago Bantay,14.64902036068555,121.02726986718456,285.02,357.75,218.81,439.52,683.39,782.17,627.64,501.98,485.64,190.42,135.81,398.78,15
M1000007,TX_Bago Bantay,Residential,Bago Bantay,14.649036101507606,121.0288729997899,145.96,161.87,301.56,329.1,193.0,663.67,309.76,293.42,311.83,415.03,433.18,617.11,10
M1000008,TX_Bago Bantay,Residential,Bago Bantay,14.644627893120548,121.03071478976489,426.36,541.66,193.08,600.01,247.76,775.02,569.93,450.23,287.02,174.19,536.26,277.72,10
M1000009,TX_Bago Bantay,Commercial,Bago Bantay,14.643845779033681,121.02692132535147,1320.8,1529.34,1463.74,1652.89,3389.22,1366.87,1078.33,1953.92,915.39,2023.51,1621.35,1806.14,75
