meter_id,transformer_id,customer_class,barangay,lat,lon,monthly_consumption_202411,monthly_consumption_202412,monthly_consumption_202501,monthly_consumption_202502,monthly_consumption_202503,monthly_consumption_202504,monthly_consumption_202505,monthly_consumption_202506,monthly_consumption_202507,monthly_consumption_202508,monthly_consumption_202509,monthly_consumption_202510,kVA
MTR_000001,TX_QC_BAGBAG_001,commercial,"Bagbag, Quezon City",14.68902600766354,121.02564133884353,1281.74,1325.4,1366.05,1530.47,1735.16,1840.16,1883.9,1802.87,1695.3,1580.39,1436.12,1298.3,197.53
MTR_000002,TX_QC_BAGBAG_001,residential,"Bagbag, Quezon City",14.698393963308556,121.0189409275569,253.83,246.67,287.9,322.65,332.06,351.22,358.26,345.1,336.61,298.98,267.65,261.25,9.51
MTR_000003,TX_QC_BAGBAG_001,residential,"Bagbag, Quezon City",14.698818766484584,121.02622263329998,307.77,313.44,325.65,396.53,436.51,461.07,466.03,455.8,420.28,363.77,351.56,318.44,14.28
MTR_000004,TX_QC_BAGBAG_001,commercial,"Bagbag, Quezon City",14.688410272512865,121.03124834125836,1540.08,1679.57,1752.32,2021.28,2155.5,2390.64,2478.46,2251.82,2116.56,2109.94,1842.08,1630.03,161.28
MTR_000005,TX_QC_BAGBAG_001,commercial,"Bagbag, Quezon City",14.703058650615977,121.02280512568409,1061.96,1070.59,1200.18,1277.2,1387.04,1446.93,1530.79,1512.36,1400.0,1224.29,1105.75,1080.99,74.89
MTR_000006,TX_QC_BAGBAG_001,residential,"Bagbag, Quezon City",14.689666535288133,121.03037184232558,118.13,120.73,132.21,158.08,335.2,252.79,91.3,252.14,162.1,148.87,72.23,176.04,11.65
MTR_000007,TX_QC_BAGBAG_001,commercial,"Bagbag, Quezon City",14.696245249389287,121.02583868103706,912.27,950.01,1047.41,1118.43,1228.27,1282.67,1343.93,1317.73,1254.0,1131.19,1046.99,938.72,154.45
MTR_000008,TX_QC_BAGBAG_001,commercial,"Bagbag, Quezon City",14.689136775119815,121.02872781510673,951.74,954.15,1044.53,1173.18,1287.71,1408.36,1413.8,1411.23,1245.55,1204.91,1045.69,933.14,134.85
MTR_000009,TX_QC_BAGBAG_001,commercial,"Bagbag, Quezon City",14.705990223447486,121.03208873335637,1278.44,1305.97,1408.56,1459.34,1726.1,1825.59,1894.74,1721.14,1662.31,1502.52,1412.07,1295.66,100.56
MTR_000010,TX_QC_BAGBAG_001,residential,"Bagbag, Quezon City",14.689021671070742,121.03426217486312,149.4,152.3,161.41,180.25,195.37,225.12,233.53,208.87,211.49,182.57,168.33,157.39,12.52
MTR_000011,TX_QC_BAGBAG_001,commercial,"Bagbag, Quezon City",14.690011315806167,121.01870999509138,761.79,777.39,850.94,956.55,1046.62,1127.2,1120.77,1121.37,1082.83,936.75,836.19,784.5,186.48
MTR_000012,TX_QC_BAGBAG_001,residential,"Bagbag, Quezon City",14.6959248290776,121.02831876092412,324.19,354.93,375.34,422.6,432.58,464.65,490.37,480.1,434.2,424.79,373.74,341.14,8.99
MTR_000013,TX_QC_BAGBAG_001,residential,"Bagbag, Quezon City",14.703671578821659,121.02643414483065,329.81,345.89,380.48,398.58,444.75,486.57,480.32,470.07,461.97,424.13,367.7,360.45,7.01
MTR_000014,TX_QC_BAGBAG_001,commercial,"Bagbag, Quezon City",14.698470546375626,121.03571303631104,1685.17,1750.09,1831.06,2107.82,2285.5,2299.81,2332.66,2502.66,2256.51,2091.06,1776.75,1722.87,51.11
MTR_000015,TX_QC_BAGBAG_001,residential,"Bagbag, Quezon City",14.70179384310157,121.02465411034349,292.69,304.35,339.72,387.37,401.02,420.13,440.01,443.9,430.94,361.01,346.33,300.06,7.06
MTR_000016,TX_QC_BAGBAG_001,commercial,"Bagbag, Quezon City",14.700156699043006,121.01771835204826,1311.91,1387.59,1415.99,1686.22,1725.3,1887.44,1873.25,1987.15,1819.68,1582.77,1417.32,1350.64,54.4
MTR_000017,TX_QC_BAGBAG_001,commercial,"Bagbag, Quezon City",14.68987377896544,121.02792711186528,1820.13,2030.51,2101.3,2428.81,2555.27,2690.96,2799.21,2912.57,2699.99,2390.09,2070.43,1920.73,120.94
MTR_000018,TX_QC_BAGBAG_001,residential,"Bagbag, Quezon City",14.707360418403335,121.03246234009099,366.05,348.6,385.25,439.7,474.82,501.25,534.23,495.48,479.75,420.54,385.26,356.52,11.53
MTR_000019,TX_QC_BAGBAG_001,residential,"Bagbag, Quezon City",14.701435373351437,121.03029775069606,184.83,198.82,211.94,241.4,256.77,283.29,285.31,270.03,260.88,227.51,202.08,198.96,6.03
MTR_000020,TX_QC_BAGBAG_001,residential,"Bagbag, Quezon City",14.697813023673788,121.0255917472335,396.86,427.71,459.76,509.32,553.35,602.7,644.16,617.38,558.99,531.68,462.57,444.4,12.92
MTR_000021,TX_QC_DAMAYAN_001,commercial,"Damayan, Quezon City",14.640129374060372,121.00992407995501,1326.18,1354.23,1518.01,1709.39,1814.53,2042.59,2016.8,1918.68,1880.9,1675.5,1459.71,1330.07,111.74
MTR_000022,TX_QC_DAMAYAN_001,residential,"Damayan, Quezon City",14.634246923528803,121.01463732431961,214.43,209.78,250.05,257.42,306.0,305.65,331.92,315.46,280.01,258.81,236.17,217.57,13.46
MTR_000023,TX_QC_DAMAYAN_001,industrial,"Damayan, Quezon City",14.648845495209045,121.02465945245766,6295.73,6359.5,7357.3,7991.66,8985.96,9475.29,9150.72,9695.52,9060.37,7944.11,7422.72,6311.89,389.28
MTR_000024,TX_QC_DAMAYAN_001,residential,"Damayan, Quezon City",14.640553175256725,121.01256488210258,346.08,357.62,380.32,423.58,457.73,477.83,459.44,405.16,316.23,262.57,209.97,155.87,9.64
MTR_000025,TX_QC_DAMAYAN_001,residential,"Damayan, Quezon City",14.632419441381376,121.01105650121579,163.48,181.34,196.03,217.13,221.71,258.05,251.84,241.39,237.38,201.15,183.14,173.05,7.42
MTR_000026,TX_QC_DAMAYAN_001,commercial,"Damayan, Quezon City",14.631373306391861,121.0123304398268,1644.82,1547.67,1689.65,1888.06,2116.17,2248.58,2278.41,2350.57,2208.74,1942.12,1774.07,1636.13,184.25
MTR_000027,TX_QC_DAMAYAN_001,industrial,"Damayan, Quezon City",14.643035035784466,121.00640241126968,3777.71,3870.81,4102.81,4443.32,5107.72,5431.37,5254.14,5540.67,4838.23,4341.24,3882.15,3853.09,631.6
MTR_000028,TX_QC_DAMAYAN_001,residential,"Damayan, Quezon City",14.638012559099925,121.00823226627432,322.46,341.85,399.74,407.32,470.68,475.55,507.05,503.68,468.02,431.35,368.44,357.82,14.88
MTR_000029,TX_QC_DAMAYAN_001,residential,"Damayan, Quezon City",14.63734546082157,121.02226995776584,215.45,219.27,236.41,263.89,303.58,305.79,312.85,307.19,310.29,280.63,254.95,233.96,14.63
MTR_000030,TX_QC_DAMAYAN_001,commercial,"Damayan, Quezon City",14.639376202586293,121.02060352860462,716.67,798.95,830.2,966.09,1076.55,1121.93,1163.05,1105.53,1033.03,978.85,836.95,743.31,81.24
MTR_000031,TX_QC_DAMAYAN_001,residential,"Damayan, Quezon City",14.649858734686397,121.01930651043106,290.69,311.54,331.25,353.4,410.01,449.69,440.7,446.69,222.09,188.66,173.98,151.75,6.91
MTR_000032,TX_QC_DAMAYAN_001,commercial,"Damayan, Quezon City",14.635846964846092,121.01633292510807,771.0,772.32,858.04,919.83,1087.85,1136.68,1170.53,1116.05,1015.38,948.9,874.71,799.78,53.79
MTR_000033,TX_QC_DAMAYAN_001,residential,"Damayan, Quezon City",14.635238096474229,121.01377734674845,188.64,189.98,204.0,215.89,250.08,273.28,266.6,273.16,257.49,231.68,201.11,178.86,14.93
MTR_000034,TX_QC_DAMAYAN_001,residential,"Damayan, Quezon City",14.635158444262354,121.0123037058116,342.42,348.29,377.62,409.9,475.42,495.93,503.13,520.83,462.5,411.24,365.88,368.62,6.05
MTR_000035,TX_QC_DAMAYAN_001,commercial,"Damayan, Quezon City",14.637754383769801,121.00641035997602,1556.75,1679.93,1810.66,1984.56,2289.94,2419.98,2333.83,2333.03,2183.37,2116.27,1779.41,1682.45,92.19
MTR_000036,TX_QC_DAMAYAN_001,residential,"Damayan, Quezon City",14.63374916529128,121.01824016526875,218.54,226.55,235.16,257.84,285.75,297.82,328.89,300.79,277.55,251.21,243.78,210.56,10.34
MTR_000037,TX_QC_DAMAYAN_001,residential,"Damayan, Quezon City",14.631032780655286,121.0240433723109,149.48,156.37,160.13,175.78,204.84,213.2,209.8,212.11,191.82,191.07,170.76,157.54,11.32
MTR_000038,TX_QC_DAMAYAN_001,residential,"Damayan, Quezon City",14.64605209778168,121.00720940774559,159.4,151.4,166.68,195.74,204.08,224.73,224.05,217.88,203.32,198.95,179.03,158.92,6.27
MTR_000039,TX_QC_DAMAYAN_001,commercial,"Damayan, Quezon City",14.647942507213115,121.02049473612796,687.77,687.35,753.05,821.03,923.59,982.47,1037.31,977.9,877.52,843.16,727.7,663.6,195.66
MTR_000040,TX_QC_DAMAYAN_001,industrial,"Damayan, Quezon City",14.647966426836705,121.01341065646102,4667.5,4860.85,5028.16,5906.87,6553.67,7152.26,7058.24,6596.18,6491.88,6066.73,5361.69,5010.05,543.85
MTR_000041,TX_QC_SILANGAN_001,industrial,"Bagong Silangan, Quezon City",14.702031644899812,121.11746196592951,4036.19,4291.72,4440.3,5130.72,5575.98,5778.25,6076.31,6085.19,5514.92,4777.06,4394.74,4114.87,319.02
MTR_000042,TX_QC_SILANGAN_001,commercial,"Bagong Silangan, Quezon City",14.69516080256808,121.10113549160135,763.97,808.13,832.36,914.32,990.48,1126.06,1149.08,1115.39,1063.62,933.01,811.83,762.37,68.59
MTR_000043,TX_QC_SILANGAN_001,commercial,"Bagong Silangan, Quezon City",14.684927510150152,121.10531761019284,1356.94,1403.92,1522.17,1591.81,1703.38,1909.5,1977.83,1900.08,1872.78,1656.54,1475.55,1380.46,51.16
MTR_000044,TX_QC_SILANGAN_001,commercial,"Bagong Silangan, Quezon City",14.694030263305498,121.11216970626022,1521.1,1625.49,1700.21,1820.52,2022.13,27.24,29.65,21.04,10.27,16.31,22.63,13.94,104.54
MTR_000045,TX_QC_SILANGAN_001,residential,"Bagong Silangan, Quezon City",14.696450100501838,121.10677254985019,263.58,292.38,304.07,354.48,385.25,422.9,398.71,406.11,385.29,359.18,296.77,294.96,10.72
MTR_000046,TX_QC_SILANGAN_001,residential,"Bagong Silangan, Quezon City",14.701878077832088,121.11255751693344,212.35,228.69,229.81,258.83,292.43,317.98,307.42,315.48,290.77,261.97,244.58,221.42,9.53
MTR_000047,TX_QC_SILANGAN_001,industrial,"Bagong Silangan, Quezon City",14.693242293018228,121.10087828620317,3571.17,3822.99,4391.37,4741.35,5258.51,5378.11,5719.87,5743.83,5271.86,4847.85,4063.9,3868.6,644.83
MTR_000048,TX_QC_SILANGAN_001,residential,"Bagong Silangan, Quezon City",14.68719837838178,121.10184946467163,172.48,185.35,202.59,212.49,256.11,267.35,270.74,106.68,100.43,88.52,80.16,75.54,14.27
MTR_000049,TX_QC_SILANGAN_001,residential,"Bagong Silangan, Quezon City",14.700374125758671,121.10133986429504,291.23,303.85,323.2,383.88,430.94,437.72,440.19,428.89,424.9,381.37,354.52,324.6,8.72
MTR_000050,TX_QC_SILANGAN_001,industrial,"Bagong Silangan, Quezon City",14.701315584482531,121.11295822340026,4831.2,5049.04,5476.35,6310.77,6871.25,7615.02,7341.55,7105.58,7029.59,6105.42,5853.2,5092.74,744.72
MTR_000051,TX_QC_SILANGAN_001,commercial,"Bagong Silangan, Quezon City",14.690222389161796,121.1086051265904,586.09,565.8,626.08,694.89,798.4,848.73,871.17,832.88,752.2,679.97,607.03,583.9,100.33
MTR_000052,TX_QC_SILANGAN_001,commercial,"Bagong Silangan, Quezon City",14.688075460731092,121.11956100911965,733.26,732.39,852.06,923.62,974.78,1081.39,1162.22,1052.61,1033.93,920.33,820.11,739.72,105.39
MTR_000053,TX_QC_SILANGAN_001,industrial,"Bagong Silangan, Quezon City",14.695923826006407,121.10628448621691,3601.25,3794.71,4035.32,4401.52,4981.6,5273.3,5736.32,5383.71,4994.49,4769.58,4220.33,3714.49,479.04
MTR_000054,TX_QC_SILANGAN_001,residential,"Bagong Silangan, Quezon City",14.689773062453556,121.11845316400778,233.21,242.23,255.54,281.76,310.64,338.5,336.71,332.78,308.97,278.34,260.45,240.52,8.36
MTR_000055,TX_QC_SILANGAN_001,commercial,"Bagong Silangan, Quezon City",14.702417969106424,121.109258509046,1421.25,1444.47,1592.69,1726.43,1892.22,2106.21,2040.3,2017.24,1924.22,1712.77,1531.02,1441.86,156.44
MTR_000056,TX_QC_SILANGAN_001,residential,"Bagong Silangan, Quezon City",14.68925213176527,121.10371291666326,349.99,392.42,432.05,463.38,502.42,535.03,553.27,549.9,493.88,449.8,397.42,387.44,6.17
MTR_000057,TX_QC_SILANGAN_001,residential,"Bagong Silangan, Quezon City",14.690514813596375,121.11209904883576,325.31,323.85,385.01,420.36,402.82,384.69,354.19,334.37,258.33,206.71,154.86,140.96,11.03
MTR_000058,TX_QC_SILANGAN_001,residential,"Bagong Silangan, Quezon City",14.687541173546759,121.10636811385872,203.97,208.75,238.46,263.21,280.78,306.06,315.14,301.63,293.9,265.8,241.67,205.71,11.77
MTR_000059,TX_QC_SILANGAN_001,commercial,"Bagong Silangan, Quezon City",14.689927792858587,121.11166741763475,1748.13,1918.74,2037.53,2384.19,2608.79,2626.86,2836.36,2595.72,2596.76,2338.71,2133.82,1902.69,133.96
