meter_id,transformer_id,customer_class,barangay_id,lat,lon,monthly_consumption_202411,monthly_consumption_202412,monthly_consumption_202501,monthly_consumption_202502,monthly_consumption_202503,monthly_consumption_202504,monthly_consumption_202505,monthly_consumption_202506,monthly_consumption_202507,monthly_consumption_202508,monthly_consumption_202509,monthly_consumption_202510,kVA
M3000000,TX_Tondo_7,Residential,1,14.61661283,120.9662375,230.73,263.93,205.14,257.75,270.65,280.4,266.28,214.85,174.46,218.8,174.42,210.62,15
M3000001,TX_Tondo_7,Residential,1,14.62014485,120.9670537,494.81,594.84,477.35,496.74,631.65,705.46,542.68,407.94,424.04,492.76,458.42,546.23,10
M3000002,TX_Tondo_8,Residential,1,14.61414907,120.9661355,603.49,711.78,539.27,536.8,792.03,792.87,624.85,515.31,592.5,478.35,500.78,597.44,5
M3000003,TX_Tondo_9,Commercial,1,14.62055647,120.964007,1346.7,1266.44,1458.21,1405.28,1787.78,1794.17,1733.14,1278.22,1145.35,1275.84,1348.19,1069.68,75
M3000004,TX_Tondo_8,Residential,1,14.6209212,120.9694524,591.16,706.76,605.64,628.36,721.1,679.26,701.32,569.29,566.25,575.58,528.36,549.89,5
M3000005,TX_Tondo_5,Residential,1,14.62029414,120.967862,272.54,248.76,281.04,321.98,353.99,306.54,367.03,234.77,215.68,284.08,274.88,257.77,5
M3000006,TX_Tondo_3,Residential,1,14.61771295,120.9636695,529.33,581.29,460.97,488.37,938.52,570.75,327.91,580.94,94.14,520.85,243.67,195.67,15
M3000007,TX_Tondo_3,Residential,1,14.62087606,120.9666377,344.06,393.26,378.19,366.18,445.4,525.33,428.69,333.14,332.43,348.31,386.49,357.99,15
M3000008,TX_Tondo_9,Residential,1,14.61807619,120.9637295,101.85,142.66,49.52,174.46,65.16,89.6,159.14,88.13,98.88,99.13,152.63,80.3,10
M3000009,TX_Tondo_4,Residential,1,14.61817095,120.9661219,258.33,349.4,275.58,297.08,339.38,323.65,361.19,233.72,257.48,309.45,258.27,276.18,5
M3000010,TX_Ermita_3,Residential,2,14.58198737,120.9788053,413.89,437.25,480.27,488.63,505.54,483.83,546.53,459.55,474.22,374.88,429.51,416.94,5
M3000011,TX_Ermita_3,Residential,2,14.58226076,120.9795918,574.41,653.73,631.21,592.75,795.26,624.6,769.03,568.55,493.9,497.49,579.32,549.21,15
M3000012,TX_Ermita_2,Commercial,2,14.57987717,120.9823043,500.13,161.81,386.17,702.06,258.67,556.64,216.42,246.35,255.12,330.09,219.48,537.15,50
M3000013,TX_Ermita_3,Residential,2,14.58243983,120.9798058,594.4,646.27,585.91,672.52,754.67,768.22,630.27,566.56,574.3,509.4,509.54,548.33,10
M3000014,TX_Ermita_9,Commercial,2,14.58263544,120.9804865,1777.26,1497.34,1654.83,1667.98,1792.84,1894.86,2044.11,1523.72,1432.46,1627.79,1612.09,1489.33,25
M3000015,TX_Ermita_4,Commercial,2,14.5826025,120.982073,1218.75,1295.07,1200.41,1314.78,1540.15,1387.57,1388.48,1098.58,938.65,918.75,1100.16,1024.4,100
M3000016,TX_Ermita_7,Industrial,2,14.57941594,120.9857314,12740.78,12446.19,15380.92,16455.03,17064.72,14910.5,15205.72,14037.1,10676.26,12683.28,11220.46,12300.85,300
M3000017,TX_Ermita_5,Residential,2,14.58324221,120.9851707,587.42,531.22,527.09,623.82,775.75,658.19,642.45,567.56,544.41,538.54,472.66,501.98,10
M3000018,TX_Ermita_4,Industrial,2,14.58166999,120.9807327,1568.07,2928,1722.86,3086.57,1061.83,2930.36,2919.51,2954.37,2200.37,1771.1,1650.77,883.37,150
M3000019,TX_Ermita_1,Residential,2,14.57970788,120.9806556,579.78,519.42,602.54,495.38,727.71,703,665.09,535.43,439.84,505.09,469.43,601.88,15
M3000020,TX_Malate_8,Commercial,3,14.57062552,120.9849797,2245.62,2440.71,2418.52,2179.74,2295.08,2349.85,2759.84,1748.89,1793.14,1911.42,1704.64,1881.18,25
M3000021,TX_Malate_4,Residential,3,14.57197487,120.98365,543.3,575.27,569.19,558.75,691.66,744.98,643.79,470.5,514.91,451.66,550.05,549.04,5
M3000022,TX_Malate_9,Residential,3,14.57164959,120.9819002,331.01,326.71,333.77,319.53,435.34,392.16,374.81,311.64,270.68,350.45,291.78,365.27,10
M3000023,TX_Malate_2,Residential,3,14.57415395,120.9848944,327.78,376.61,384.06,321.46,366.17,436.4,422.69,250.26,296.2,262.1,332.76,272.02,10
M3000024,TX_Malate_5,Commercial,3,14.57172986,120.987721,2340.05,2425.97,2393.77,2439.01,2437.62,2751.79,2368.37,1914.58,2185.69,1674.4,1906.49,1915.68,100
M3000025,TX_Malate_9,Commercial,3,14.57247842,120.9858337,2457.1,3036.67,2555.33,2659.23,2810.79,2857.16,3567.13,2146.37,2136.61,2752.74,2537.93,2253.04,100
M3000026,TX_Malate_10,Residential,3,14.57177186,120.9846174,254.06,277.37,291.95,298.18,305.43,303.62,315.61,247.33,221.44,231.74,237.33,279.29,15
M3000027,TX_Malate_10,Residential,3,14.57315241,120.9876482,465.43,529.67,605.63,595.53,714.51,719.17,577.33,532.93,417.9,505.72,435.82,470.81,5
M3000028,TX_Malate_8,Residential,3,14.57204768,120.9845069,313.97,307.78,313,353.81,333.28,372.34,428.51,278.67,281.88,308.11,311.63,327.18,5
M3000029,TX_Malate_6,Residential,3,14.56925624,120.9868658,610.3,680.14,201.89,634.35,403.19,684.21,591.62,602.78,345.38,735.1,391.07,453.94,5
M3000030,TX_Paco_3,Residential,4,14.57987531,120.9978331,267.69,291.32,338.48,299.48,351.75,427.6,395.56,306.16,266.76,323.38,326.85,312.02,10
M3000031,TX_Paco_3,Residential,4,14.58283381,120.99374,236.55,254.98,268.41,333.2,313.32,387.78,349.76,237.92,258.06,236.52,295.78,300.2,15
M3000032,TX_Paco_4,Residential,4,14.57699283,120.9916705,403.9,522.85,425.12,483.69,470.33,628.93,593.01,376.17,399.16,376.39,452.58,382.74,5
M3000033,TX_Paco_1,Commercial,4,14.57999335,120.9962681,1907.99,2137.89,2068.02,1944.15,2583.6,2022.01,2289,1902.72,1525.91,1865.69,1925.99,1939.19,25
