meter_id,anomaly_flag,risk_band,anomaly_type
MTR_000016,1,High,low_consumption
MTR_000022,1,High,low_consumption
MTR_000024,1,High,low_consumption
MTR_000057,1,High,low_consumption
MTR_000069,1,High,low_consumption
MTR_000117,1,High,low_consumption
MTR_000124,1,High,low_consumption
MTR_000155,1,High,low_consumption
MTR_000158,1,High,low_consumption
MTR_000160,1,High,low_consumption
MTR_000178,1,Medium,low_consumption
MTR_000190,1,High,low_consumption
MTR_000192,1,Low,low_consumption
MTR_000195,1,High,low_consumption
MTR_000199,1,Low,low_consumption
MTR_000210,1,Low,low_consumption
MTR_000212,1,Low,low_consumption
MTR_000219,1,Low,low_consumption
MTR_000222,1,High,low_consumption
MTR_000235,1,Low,low_consumption
MTR_000236,1,High,low_consumption
MTR_000242,1,Low,low_consumption
MTR_000258,1,High,low_consumption
MTR_000267,1,High,low_consumption
MTR_000300,1,High,low_consumption
MTR_000305,1,High,low_consumption
MTR_000315,1,High,low_consumption
MTR_000327,1,Low,low_consumption
MTR_000328,1,High,low_consumption
MTR_000346,1,High,low_consumption
MTR_000361,1,High,low_consumption
MTR_000385,1,High,low_consumption
MTR_000389,1,High,low_consumption
MTR_000396,1,High,low_consumption
MTR_000403,1,High,low_consumption
MTR_000411,1,High,low_consumption
MTR_000417,1,High,low_consumption
MTR_000474,1,High,low_consumption
MTR_000495,1,Low,low_consumption
MTR_000501,1,High,low_consumption
MTR_000513,1,High,low_consumption
MTR_000529,1,High,low_consumption
MTR_000530,1,High,low_consumption
MTR_000540,1,Low,low_consumption
MTR_000549,1,High,low_consumption
MTR_000551,1,High,low_consumption
MTR_000561,1,Low,low_consumption
MTR_000567,1,Low,low_consumption
MTR_000572,1,Low,low_consumption
MTR_000576,1,High,low_consumption
MTR_000585,1,High,low_consumption
MTR_000592,1,High,low_consumption
MTR_000610,1,High,low_consumption
MTR_000611,1,Low,low_consumption
MTR_000614,1,High,low_consumption
MTR_000653,1,High,low_consumption
MTR_000654,1,High,low_consumption
MTR_000658,1,High,low_consumption
MTR_000679,1,Low,low_consumption
MTR_000681,1,High,low_consumption
MTR_000699,1,High,low_consumption
MTR_000707,1,High,low_consumption
MTR_000709,1,Low,low_consumption
MTR_000739,1,Low,low_consumption
MTR_000752,1,High,low_consumption
MTR_000766,1,High,low_consumption
MTR_000769,1,High,low_consumption
MTR_000774,1,Low,low_consumption
MTR_000775,1,High,low_consumption
MTR_000804,1,Low,low_consumption
MTR_000816,1,High,low_consumption
MTR_000856,1,High,low_consumption
MTR_000858,1,High,low_consumption
MTR_000888,1,Low,low_consumption
MTR_000890,1,High,low_consumption
MTR_000903,1,Medium,low_consumption
MTR_000908,1,Low,low_consumption
MTR_000921,1,High,low_consumption
MTR_000924,1,High,low_consumption
MTR_000954,1,High,low_consumption
MTR_000956,1,High,low_consumption
MTR_001018,1,Low,low_consumption
MTR_001031,1,High,low_consumption
MTR_001039,1,High,low_consumption
MTR_001042,1,Low,low_consumption
MTR_001064,1,High,low_consumption
MTR_001081,1,High,low_consumption
MTR_001089,1,High,low_consumption
MTR_001126,1,High,low_consumption
MTR_001130,1,Low,low_consumption
MTR_001161,1,High,low_consumption
MTR_001173,1,Low,low_consumption
MTR_001185,1,High,low_consumption
MTR_001222,1,High,low_consumption
MTR_001229,1,High,low_consumption
MTR_001230,1,High,low_consumption
MTR_001235,1,Medium,low_consumption
MTR_001267,1,High,low_consumption
MTR_001269,1,High,low_consumption
MTR_001302,1,High,low_consumption
MTR_001303,1,High,low_consumption
MTR_001333,1,High,low_consumption
MTR_001337,1,High,low_consumption
MTR_001373,1,Medium,low_consumption
MTR_001387,1,High,low_consumption
MTR_001406,1,High,low_consumption
MTR_001412,1,Low,low_consumption
MTR_001418,1,Low,low_consumption
MTR_001424,1,High,low_consumption
MTR_001426,1,High,low_consumption
MTR_001439,1,High,low_consumption
MTR_001482,1,High,low_consumption
MTR_001487,1,High,low_consumption
MTR_001494,1,High,low_consumption
MTR_001526,1,High,low_consumption
MTR_001527,1,High,low_consumption
MTR_001528,1,Low,low_consumption
MTR_001544,1,High,low_consumption
MTR_001563,1,Low,low_consumption
MTR_001566,1,High,low_consumption
MTR_001569,1,High,low_consumption
MTR_001593,1,Medium,low_consumption
MTR_001618,1,High,low_consumption
MTR_001624,1,Low,low_consumption
MTR_001635,1,High,low_consumption
MTR_001657,1,Low,low_consumption
MTR_001673,1,High,low_consumption
MTR_001678,1,High,low_consumption
MTR_001681,1,High,low_consumption
MTR_001686,1,High,low_consumption
MTR_001701,1,High,low_consumption
MTR_001722,1,High,low_consumption
MTR_001729,1,Low,low_consumption
MTR_001732,1,Low,low_consumption
MTR_001735,1,High,low_consumption
MTR_001740,1,Low,low_consumption
MTR_001751,1,High,low_consumption
MTR_001791,1,High,low_consumption
MTR_001804,1,High,low_consumption
MTR_001810,1,High,low_consumption
MTR_001828,1,High,low_consumption
MTR_001834,1,High,low_consumption
MTR_001891,1,Low,low_consumption
MTR_001901,1,High,low_consumption
MTR_001913,1,High,low_consumption
MTR_001940,1,High,low_consumption
MTR_001942,1,Medium,low_consumption
MTR_001952,1,Low,low_consumption
MTR_001958,1,Low,low_consumption
MTR_001965,1,Low,low_consumption
MTR_002000,1,High,low_consumption
