meter_id,anomaly_flag,risk_band,anomaly_type
MTR_000006,1,High,low_consumption
MTR_000017,1,Low,low_consumption
MTR_000023,1,High,low_consumption
MTR_000038,1,High,low_consumption
MTR_000044,1,High,low_consumption
MTR_000047,1,High,low_consumption
MTR_000049,1,Low,low_consumption
MTR_000061,1,High,low_consumption
MTR_000062,1,High,low_consumption
MTR_000067,1,High,low_consumption
MTR_000069,1,Low,low_consumption
MTR_000073,1,High,low_consumption
MTR_000074,1,High,low_consumption
MTR_000076,1,High,low_consumption
MTR_000079,1,Low,low_consumption
MTR_000082,1,High,low_consumption
MTR_000090,1,High,low_consumption
MTR_000091,1,High,low_consumption
MTR_000093,1,Medium,low_consumption
MTR_000104,1,High,low_consumption
MTR_000114,1,High,low_consumption
MTR_000123,1,High,low_consumption
MTR_000141,1,High,low_consumption
MTR_000151,1,High,low_consumption
MTR_000155,1,High,low_consumption
MTR_000175,1,High,low_consumption
MTR_000180,1,High,low_consumption
MTR_000189,1,High,low_consumption
MTR_000207,1,High,low_consumption
MTR_000221,1,High,low_consumption
MTR_000223,1,High,low_consumption
MTR_000226,1,High,low_consumption
MTR_000243,1,Low,low_consumption
MTR_000247,1,High,low_consumption
MTR_000252,1,High,low_consumption
MTR_000258,1,High,low_consumption
MTR_000259,1,High,low_consumption
MTR_000265,1,High,low_consumption
MTR_000266,1,High,low_consumption
MTR_000271,1,High,low_consumption
MTR_000277,1,High,low_consumption
MTR_000285,1,Low,low_consumption
MTR_000287,1,Low,low_consumption
MTR_000295,1,Low,low_consumption
MTR_000301,1,High,low_consumption
MTR_000305,1,High,low_consumption
MTR_000309,1,Low,low_consumption
MTR_000312,1,Low,low_consumption
MTR_000319,1,High,low_consumption
MTR_000321,1,High,low_consumption
MTR_000327,1,Low,low_consumption
MTR_000335,1,Low,low_consumption
MTR_000342,1,Low,low_consumption
MTR_000343,1,Low,low_consumption
MTR_000349,1,High,low_consumption
MTR_000355,1,High,low_consumption
MTR_000375,1,Low,low_consumption
MTR_000379,1,Low,low_consumption
MTR_000383,1,High,low_consumption
MTR_000391,1,High,low_consumption
MTR_000397,1,High,low_consumption
MTR_000408,1,High,low_consumption
MTR_000413,1,High,low_consumption
MTR_000415,1,High,low_consumption
MTR_000419,1,High,low_consumption
MTR_000428,1,High,low_consumption
MTR_000437,1,High,low_consumption
MTR_000445,1,High,low_consumption
MTR_000454,1,High,low_consumption
MTR_000463,1,Low,low_consumption
MTR_000475,1,Low,low_consumption
MTR_000486,1,High,low_consumption
MTR_000497,1,High,low_consumption
MTR_000500,1,High,low_consumption
