meter_id,anomaly_flag,risk_band,anomaly_type
MTR_000018,1,High,low_consumption
MTR_000030,1,High,low_consumption
MTR_000032,1,High,low_consumption
MTR_000081,1,High,low_consumption
MTR_000083,1,High,low_consumption
MTR_000089,1,High,low_consumption
MTR_000100,1,High,low_consumption
MTR_000116,1,High,low_consumption
MTR_000119,1,Low,low_consumption
MTR_000122,1,High,low_consumption
MTR_000127,1,High,low_consumption
MTR_000135,1,Low,low_consumption
MTR_000148,1,High,low_consumption
MTR_000159,1,Low,low_consumption
MTR_000193,1,Low,low_consumption
MTR_000207,1,Low,low_consumption
MTR_000220,1,High,low_consumption
MTR_000229,1,High,low_consumption
MTR_000249,1,High,low_consumption
MTR_000250,1,High,low_consumption
MTR_000253,1,High,low_consumption
MTR_000261,1,Low,low_consumption
MTR_000264,1,Low,low_consumption
MTR_000271,1,High,low_consumption
MTR_000282,1,High,low_consumption
MTR_000289,1,High,low_consumption
MTR_000303,1,Low,low_consumption
MTR_000318,1,High,low_consumption
MTR_000329,1,Low,low_consumption
MTR_000331,1,High,low_consumption
MTR_000343,1,High,low_consumption
MTR_000354,1,Low,low_consumption
MTR_000368,1,High,low_consumption
MTR_000376,1,High,low_consumption
MTR_000384,1,High,low_consumption
MTR_000391,1,Low,low_consumption
MTR_000395,1,Low,low_consumption
MTR_000398,1,High,low_consumption
MTR_000415,1,Low,low_consumption
MTR_000417,1,Medium,low_consumption
MTR_000425,1,Low,low_consumption
MTR_000433,1,High,low_consumption
MTR_000446,1,Low,low_consumption
MTR_000461,1,High,low_consumption
MTR_000485,1,High,low_consumption
MTR_000508,1,High,low_consumption
MTR_000526,1,High,low_consumption
MTR_000536,1,High,low_consumption
MTR_000549,1,High,low_consumption
MTR_000577,1,High,low_consumption
MTR_000635,1,Low,low_consumption
MTR_000660,1,High,low_consumption
MTR_000666,1,Low,low_consumption
MTR_000687,1,High,low_consumption
MTR_000688,1,Low,low_consumption
MTR_000705,1,High,low_consumption
MTR_000706,1,Low,low_consumption
MTR_000715,1,Low,low_consumption
MTR_000729,1,Low,low_consumption
MTR_000780,1,Medium,low_consumption
MTR_000791,1,Low,low_consumption
MTR_000836,1,High,low_consumption
MTR_000840,1,High,low_consumption
MTR_000869,1,High,low_consumption
MTR_000893,1,High,low_consumption
MTR_000916,1,Low,low_consumption
MTR_000919,1,Low,low_consumption
MTR_000921,1,Low,low_consumption
MTR_000927,1,High,low_consumption
MTR_000940,1,High,low_consumption
MTR_000946,1,High,low_consumption
MTR_000952,1,High,low_consumption
MTR_000968,1,High,low_consumption
MTR_000972,1,Low,low_consumption
MTR_000991,1,High,low_consumption
MTR_000997,1,High,low_consumption
MTR_001000,1,Medium,low_consumption
MTR_001003,1,Low,low_consumption
MTR_001012,1,Low,low_consumption
MTR_001015,1,High,low_consumption
MTR_001034,1,High,low_consumption
MTR_001038,1,Low,low_consumption
MTR_001041,1,Low,low_consumption
MTR_001065,1,High,low_consumption
MTR_001070,1,Low,low_consumption
MTR_001079,1,High,low_consumption
MTR_001101,1,Low,low_consumption
MTR_001111,1,High,low_consumption
MTR_001112,1,High,low_consumption
MTR_001119,1,High,low_consumption
MTR_001123,1,High,low_consumption
MTR_001136,1,High,low_consumption
MTR_001174,1,High,low_consumption
MTR_001184,1,High,low_consumption
MTR_001186,1,High,low_consumption
MTR_001200,1,High,low_consumption
MTR_001201,1,High,low_consumption
MTR_001203,1,High,low_consumption
MTR_001205,1,High,low_consumption
MTR_001216,1,High,low_consumption
MTR_001220,1,Low,low_consumption
MTR_001229,1,High,low_consumption
MTR_001236,1,High,low_consumption
MTR_001253,1,High,low_consumption
MTR_001258,1,High,low_consumption
MTR_001259,1,High,low_consumption
MTR_001269,1,High,low_consumption
MTR_001278,1,High,low_consumption
MTR_001315,1,High,low_consumption
MTR_001325,1,Low,low_consumption
MTR_001338,1,High,low_consumption
MTR_001341,1,High,low_consumption
MTR_001359,1,High,low_consumption
MTR_001373,1,Low,low_consumption
MTR_001377,1,High,low_consumption
MTR_001407,1,High,low_consumption
MTR_001441,1,Low,low_consumption
MTR_001458,1,High,low_consumption
MTR_001461,1,High,low_consumption
MTR_001466,1,High,low_consumption
MTR_001483,1,Low,low_consumption
MTR_001484,1,Low,low_consumption
MTR_001485,1,High,low_consumption
MTR_001514,1,Low,low_consumption
MTR_001521,1,Low,low_consumption
MTR_001530,1,High,low_consumption
MTR_001565,1,High,low_consumption
MTR_001582,1,Low,low_consumption
MTR_001587,1,High,low_consumption
MTR_001591,1,High,low_consumption
MTR_001610,1,Low,low_consumption
MTR_001620,1,High,low_consumption
MTR_001629,1,Medium,low_consumption
MTR_001680,1,Low,low_consumption
MTR_001684,1,High,low_consumption
MTR_001713,1,High,low_consumption
MTR_001751,1,Low,low_consumption
MTR_001791,1,High,low_consumption
MTR_001799,1,High,low_consumption
MTR_001813,1,Low,low_consumption
MTR_001815,1,High,low_consumption
MTR_001818,1,High,low_consumption
MTR_001835,1,Low,low_consumption
MTR_001842,1,Low,low_consumption
MTR_001846,1,High,low_consumption
MTR_001851,1,High,low_consumption
MTR_001886,1,Low,low_consumption
MTR_001898,1,High,low_consumption
MTR_001914,1,High,low_consumption
MTR_001919,1,Low,low_consumption
MTR_001922,1,Low,low_consumption
MTR_001925,1,High,low_consumption
MTR_001926,1,High,low_consumption
MTR_001937,1,High,low_consumption
MTR_002025,1,Low,low_consumption
MTR_002033,1,Low,low_consumption
MTR_002036,1,Low,low_consumption
MTR_002049,1,High,low_consumption
MTR_002053,1,High,low_consumption
MTR_002062,1,High,low_consumption
MTR_002084,1,High,low_consumption
MTR_002086,1,High,low_consumption
MTR_002097,1,High,low_consumption
MTR_002101,1,High,low_consumption
MTR_002103,1,High,low_consumption
MTR_002154,1,Low,low_consumption
MTR_002176,1,High,low_consumption
MTR_002177,1,High,low_consumption
MTR_002192,1,High,low_consumption
MTR_002201,1,High,low_consumption
MTR_002210,1,High,low_consumption
MTR_002258,1,Low,low_consumption
MTR_002265,1,High,low_consumption
MTR_002274,1,High,low_consumption
MTR_002296,1,High,low_consumption
MTR_002304,1,High,low_consumption
MTR_002308,1,High,low_consumption
MTR_002313,1,Low,low_consumption
MTR_002328,1,High,low_consumption
MTR_002331,1,High,low_consumption
MTR_002357,1,High,low_consumption
MTR_002371,1,High,low_consumption
MTR_002394,1,High,low_consumption
MTR_002430,1,Low,low_consumption
MTR_002434,1,High,low_consumption
MTR_002464,1,High,low_consumption
MTR_002468,1,Low,low_consumption
MTR_002469,1,High,low_consumption
MTR_002472,1,High,low_consumption
MTR_002496,1,High,low_consumption
MTR_002502,1,High,low_consumption
MTR_002508,1,High,low_consumption
MTR_002522,1,Low,low_consumption
MTR_002523,1,High,low_consumption
MTR_002544,1,High,low_consumption
MTR_002554,1,High,low_consumption
MTR_002611,1,Low,low_consumption
MTR_002612,1,High,low_consumption
MTR_002628,1,High,low_consumption
MTR_002644,1,High,low_consumption
MTR_002645,1,Low,low_consumption
MTR_002668,1,High,low_consumption
MTR_002671,1,High,low_consumption
MTR_002679,1,Medium,low_consumption
MTR_002696,1,Low,low_consumption
MTR_002701,1,High,low_consumption
MTR_002706,1,High,low_consumption
MTR_002762,1,High,low_consumption
MTR_002775,1,High,low_consumption
MTR_002789,1,Low,low_consumption
MTR_002790,1,High,low_consumption
MTR_002800,1,High,low_consumption
MTR_002811,1,High,low_consumption
MTR_002812,1,Low,low_consumption
MTR_002816,1,High,low_consumption
MTR_002820,1,High,low_consumption
MTR_002836,1,High,low_consumption
MTR_002846,1,High,low_consumption
MTR_002861,1,High,low_consumption
MTR_002884,1,High,low_consumption
MTR_002903,1,High,low_consumption
MTR_002920,1,High,low_consumption
MTR_002988,1,Low,low_consumption
MTR_003004,1,High,low_consumption
MTR_003009,1,Low,low_consumption
MTR_003026,1,High,low_consumption
MTR_003050,1,High,low_consumption
MTR_003053,1,High,low_consumption
MTR_003056,1,High,low_consumption
MTR_003060,1,High,low_consumption
MTR_003074,1,High,low_consumption
MTR_003090,1,Low,low_consumption
MTR_003093,1,High,low_consumption
MTR_003136,1,Low,low_consumption
MTR_003161,1,Low,low_consumption
MTR_003181,1,High,low_consumption
MTR_003185,1,Low,low_consumption
MTR_003191,1,High,low_consumption
MTR_003194,1,High,low_consumption
MTR_003197,1,Low,low_consumption
MTR_003208,1,Low,low_consumption
MTR_003237,1,Low,low_consumption
MTR_003244,1,High,low_consumption
MTR_003245,1,High,low_consumption
MTR_003358,1,High,low_consumption
MTR_003404,1,High,low_consumption
MTR_003421,1,Low,low_consumption
MTR_003432,1,High,low_consumption
MTR_003443,1,High,low_consumption
MTR_003449,1,Medium,low_consumption
MTR_003451,1,High,low_consumption
MTR_003455,1,High,low_consumption
MTR_003470,1,Low,low_consumption
MTR_003472,1,Low,low_consumption
MTR_003481,1,High,low_consumption
MTR_003483,1,High,low_consumption
MTR_003505,1,High,low_consumption
MTR_003509,1,High,low_consumption
MTR_003519,1,Low,low_consumption
MTR_003520,1,High,low_consumption
MTR_003550,1,Low,low_consumption
MTR_003555,1,High,low_consumption
MTR_003561,1,High,low_consumption
MTR_003565,1,High,low_consumption
MTR_003566,1,High,low_consumption
MTR_003568,1,High,low_consumption
MTR_003580,1,Low,low_consumption
MTR_003586,1,High,low_consumption
MTR_003608,1,High,low_consumption
MTR_003623,1,High,low_consumption
MTR_003629,1,Low,low_consumption
MTR_003634,1,High,low_consumption
MTR_003646,1,High,low_consumption
MTR_003668,1,High,low_consumption
MTR_003681,1,Low,low_consumption
MTR_003690,1,High,low_consumption
MTR_003696,1,High,low_consumption
MTR_003700,1,High,low_consumption
MTR_003704,1,High,low_consumption
MTR_003709,1,Low,low_consumption
MTR_003721,1,High,low_consumption
MTR_003729,1,High,low_consumption
MTR_003730,1,High,low_consumption
MTR_003735,1,High,low_consumption
MTR_003739,1,Low,low_consumption
MTR_003752,1,High,low_consumption
MTR_003757,1,High,low_consumption
MTR_003763,1,High,low_consumption
MTR_003778,1,Low,low_consumption
MTR_003798,1,High,low_consumption
MTR_003805,1,High,low_consumption
MTR_003829,1,Low,low_consumption
MTR_003857,1,High,low_consumption
MTR_003885,1,Low,low_consumption
MTR_003894,1,High,low_consumption
MTR_003897,1,High,low_consumption
MTR_003901,1,High,low_consumption
MTR_003914,1,High,low_consumption
MTR_003920,1,High,low_consumption
MTR_003922,1,High,low_consumption
MTR_003935,1,High,low_consumption
MTR_003939,1,High,low_consumption
MTR_003956,1,High,low_consumption
MTR_003959,1,Low,low_consumption
MTR_003972,1,High,low_consumption
MTR_004006,1,High,low_consumption
MTR_004063,1,High,low_consumption
MTR_004071,1,High,low_consumption
MTR_004104,1,High,low_consumption
MTR_004109,1,High,low_consumption
MTR_004133,1,High,low_consumption
MTR_004148,1,Low,low_consumption
MTR_004199,1,High,low_consumption
MTR_004210,1,High,low_consumption
MTR_004214,1,High,low_consumption
MTR_004259,1,Low,low_consumption
MTR_004262,1,High,low_consumption
MTR_004276,1,Low,low_consumption
MTR_004300,1,High,low_consumption
MTR_004314,1,Low,low_consumption
MTR_004322,1,High,low_consumption
MTR_004323,1,Low,low_consumption
MTR_004361,1,High,low_consumption
MTR_004383,1,Low,low_consumption
MTR_004396,1,Low,low_consumption
MTR_004399,1,High,low_consumption
MTR_004416,1,High,low_consumption
MTR_004417,1,High,low_consumption
