meter_id,anomaly_flag,risk_band,anomaly_type
MTR_000013,1,High,low_consumption
MTR_000016,1,High,low_consumption
MTR_000035,1,High,low_consumption
MTR_000050,1,Low,low_consumption
MTR_000071,1,High,low_consumption
MTR_000140,1,High,low_consumption
MTR_000141,1,Low,low_consumption
MTR_000155,1,High,low_consumption
MTR_000159,1,Low,low_consumption
MTR_000161,1,Low,low_consumption
MTR_000164,1,High,low_consumption
MTR_000173,1,High,low_consumption
MTR_000253,1,Low,low_consumption
MTR_000263,1,High,low_consumption
MTR_000290,1,Low,low_consumption
MTR_000299,1,Low,low_consumption
MTR_000302,1,High,low_consumption
MTR_000307,1,Low,low_consumption
MTR_000323,1,High,low_consumption
MTR_000337,1,Low,low_consumption
MTR_000349,1,High,low_consumption
MTR_000401,1,Low,low_consumption
MTR_000437,1,High,low_consumption
MTR_000453,1,High,low_consumption
MTR_000488,1,High,low_consumption
